Pond ID,Date collected,Distance from colony (km),pH,Conductivity (mS/cm),Depth (m) approximate,UTM Zone,Easting,Northing,Total phosphorus TP (mg/L),Total Nitrogen TN (mg/L),DOC (mg/L),TIC (mg/L),Total Ca (mg/L),Total Mg (mg/L),Total K (mg/L),Total Na (mg/L),Notes,Algae d13C,Algae d15N,Sediment d13C,Sediment d15N,
CSM Pond 1,Sept 12 2021,0.226,7.4,1.50,1.00,21T,715161,5188832,0.414,2.640,14.2,0.70,7.7,18.9,6.3,206.0,Impact pond,-23.7,9.7,-27.28,8.4,
CSM Pond 2,Sept 12 2021,0.414,6.1,0.48,0.10,21T,715258,5189031,0.033,1.250,6.0,0.80,2.1,3.4,1.5,42.1,,-27.9,6.4,-28.16,2.92,
CSM Pond 3,Sept 12 2021,0.859,6.1,0.40,0.45,21T,715285,5189546,0.031,0.577,8.8,0.90,3.0,3.1,0.8,21.4,,-30.6,,-29.03,1.32,
CSM Pond 4,Sept 14 2021,1.122,7.1,0.46,0.20,21T,715558,5189707,0.036,0.711,18.4,0.35,3.9,8.7,1.6,57.2,,-27.6,2.6,-27.4,1.26,
CSM Pond 5,Sept 14 2021,1.343,4.3,0.16,1.20,21T,715804,5189793,0.042,0.798,12.2,0.35,1.4,2.9,0.5,23.0,,-29.1,4.1,-27.27,2.13,
CSM Pond 6,Sept 14 2021,1.323,5.5,0.18,0.33,21T,716000,5189531,0.040,0.457,5.8,0.50,2.3,3.4,0.9,29.4,,-29.2,,-27.71,0.18,
CSM Pond 7,Sept 14 2021,1.833,6.0,0.16,0.33,21T,716040,5190202,0.054,0.841,19.3,0.35,4.7,3.0,0.9,23.2,,-27.4,,-26.92,0.73,
CSM Pond 8,Sept 18 2021,2.518,6.7,0.12,0.76,21T,715963,5191123,0.050,0.451,14.3,1.60,3.7,2.4,0.6,20.1,"""Clay Pond""",-28.2,,-27.84,2.08,
CSM Pond 9,Sept 18 2021,2.153,4.5,0.12,0.60,21T,716380,5190387,0.028,0.574,8.2,0.35,1.3,2.1,0.6,19.6,,-28.3,5.2,-27.19,1.43,
CSM Pond 10,Sept 18 2021,2.17,5.6,0.13,0.45,21T,716498,5190294,0.286,0.519,12.7,0.35,2.7,2.2,0.5,21.9,,-28.7,,-27.91,-0.15,
CSM Pond 11,Sept 18 2021,5.463,4.2,0.08,0.76,21T,717571,5193561,0.283,0.738,24.1,0.35,0.8,1.3,1.1,11.6,,-26.9,5.1,-26.42,0.33,
CSM Pond 12,Sept 12 2021,6.558,4.1,0.11,0.85,21T,718008,5194577,0.256,2.060,27.4,0.35,1.2,1.9,0.5,12.7,"""Peat's Pond""",-26.8,1.4,-26.4,-0.91,
