Pond,Variable,d13C,d15N,Distance,%N,%C,C:N,
1,Cladocera,-27.28,11.33,0.226,8.83,46.86,NA,
2,Cladocera,-28.21,4.54,0.414,6.9,43.8,NA,
3,Cladocera,-31.42,3.28,0.859,7.6,45,NA,
4,Cladocera,-28.75,2.2,1.122,9.4,47,NA,
6,Cladocera,-34.24,3.86,1.343,8.8,49.9,NA,
5,Cladocera,-29.9,0.97,1.323,7.09,45.25,NA,
7,Cladocera,-30.4,3.23,1.833,9.5,55.6,NA,
10,Cladocera,-29.89,3.09,2.518,7.9,46.7,NA,
8,Cladocera,-30.83,1.92,2.153,8.68,51.03,NA,
9,Cladocera,-31.18,2.62,2.17,9,51.28,NA,
11,Cladocera,-29.69,-0.6,5.463,9.3,50.8,NA,
12,Cladocera,-27.83,1.04,6.558,9.3,51.2,NA,
1,Sediment,-27.28,8.4,0.226,0.83,11.9,14.3,
2,Sediment,-28.16,2.92,0.414,2.58,29.37,11.4,
3,Sediment,-29.03,1.32,0.859,1.48,17.56,11.9,
4,Sediment,-27.4,1.26,1.122,1.53,32.14,21.1,
6,Sediment,-27.27,2.13,1.343,2.09,47.07,22.5,
5,Sediment,-27.71,0.18,1.323,1.76,34.92,19.9,
7,Sediment,-26.92,0.73,1.833,1.46,48.07,33,
10,Sediment,-27.84,2.08,2.518,1.09,19.79,18.2,
8,Sediment,-27.19,1.43,2.153,1.04,29.75,28.5,
9,Sediment,-27.91,-0.15,2.17,2.21,46.28,21,
11,Sediment,-26.42,0.33,5.463,1.4,51.23,36.6,
12,Sediment,-26.4,-0.91,6.558,1.01,50.03,49.6,
1,Phytoplankton,-23.7,9.7,0.226,NA,NA,NA,
2,Phytoplankton,-27.9,6.4,0.414,NA,NA,NA,
3,Phytoplankton,-30.6,NA,0.859,NA,NA,NA,
4,Phytoplankton,-27.6,2.6,1.122,NA,NA,NA,
6,Phytoplankton,-29.1,4.1,1.343,NA,NA,NA,
5,Phytoplankton,-29.2,NA,1.323,NA,NA,NA,
7,Phytoplankton,-27.4,NA,1.833,NA,NA,NA,
10,Phytoplankton,-28.2,NA,2.518,NA,NA,NA,
8,Phytoplankton,-28.3,5.2,2.153,NA,NA,NA,
9,Phytoplankton,-28.7,NA,2.17,NA,NA,NA,
11,Phytoplankton,-26.9,5.1,5.463,NA,NA,NA,
12,Phytoplankton,-26.8,1.4,6.558,NA,NA,NA,
1,Calanoida,-25.86,14.58,0.226,10.7,46.27,NA,
2,Calanoida,NA,NA,0.414,NA,NA,NA,
3,Calanoida,NA,NA,0.859,NA,NA,NA,
4,Calanoida,NA,NA,1.122,NA,NA,NA,
6,Calanoida,-34.12,9.17,1.343,11.2,49.9,NA,
5,Calanoida,-30.61,5.18,1.323,10.5,43.55,NA,
7,Calanoida,NA,NA,1.833,NA,NA,NA,
10,Calanoida,-29.55,6.12,2.518,11.4,48.3,NA,
8,Calanoida,-31.28,5.48,2.153,10.71,51.52,NA,
9,Calanoida,-32.86,6.08,2.17,9.71,50.66,NA,
11,Calanoida,-32.2,3.97,5.463,8.3,57.1,NA,
12,Calanoida,-31.04,4.23,6.558,9.5,52.2,NA,
